conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
6,-50.824006135999994,12,-38.477151840000005,1,-11721548.5788738,-100.4011883996427
11,-50.824416168,9,-38.733723088,2,-11721548.177597044,-99.9999116435647
5,-50.823336696,13,-38.05619959999999,3,-11721544.195852095,-96.01816669479012
16,-50.82810227200001,1,-41.048483432,4,-11721542.032093322,-93.85440792143345
3,-50.814709287999996,16,-32.642337904,5,-11721535.15927241,-86.98158700950444
8,-50.82656256,2,-40.082736736,6,-11721533.775210477,-85.59752507694066
2,-50.826328256000004,4,-39.935518511999994,7,-11721506.209134046,-58.03144864551723
12,-50.81564232,15,-33.229625064000004,8,-11721503.149445795,-54.97176039405167
10,-50.824089816000004,11,-38.530773984,9,-11721495.740681456,-47.56299605593085
7,-50.824696495999994,8,-38.909823464,10,-11721493.194083793,-45.0163983926177
4,-50.826537456,3,-40.066833351999996,11,-11721491.816329837,-43.63864443637431
15,-50.825968431999996,6,-39.708511408,12,-11721489.402178718,-41.22449331730604
1,-50.824704864000005,7,-38.9158024,13,-11721475.968430905,-27.79074550420046
14,-50.825980984,5,-39.717569768000004,14,-11721474.49917076,-26.321485359221697
9,-50.82234927200001,14,-37.436816975999996,15,-11721473.879995445,-25.702310044318438
13,-50.824110736,10,-38.543756936,16,-11721472.694962112,-24.51727671176195
