conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
3,-47.772288584,2,-28.108086896,1,-9159149.826173443,-41.78439589217305
10,-47.770552224000006,4,-27.017054504,2,-9159136.547950167,-28.506172616034746
2,-47.76023448,9,-20.543038336000002,3,-9159128.1391765,-20.097398947924376
5,-47.760276319999996,8,-20.569899616,4,-9159128.024656944,-19.982879392802715
1,-47.771493624,3,-27.60793572,5,-9159123.627083711,-15.585306160151958
9,-47.768338888,6,-25.627698728000002,6,-9159119.688234866,-11.646457314491272
8,-47.75664879200001,10,-18.293770144,7,-9159117.176673865,-9.134896313771605
6,-47.770326288,5,-26.874865448,8,-9159115.314607425,-7.272829873487353
4,-47.760305607999996,7,-20.5882088,9,-9159114.184700342,-6.142922790721059
7,-47.77310028,1,-28.615296479999998,10,-9159113.717811204,-5.676033653318882
