conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
12,-48.214600144,7,-21.189570936,1,-9799755.012044234,-61.19496337324381
13,-48.210888936,12,-18.861266984,2,-9799740.830054628,-47.01297376677394
14,-48.210357568,13,-18.528685007999997,3,-9799718.984259548,-25.167178686708212
8,-48.213478832,11,-20.487211224000003,4,-9799718.71135798,-24.89427711814642
6,-48.217403424000004,2,-22.949474304,5,-9799715.326143783,-21.509062921628356
5,-48.215708903999996,4,-21.885160936000002,6,-9799714.795278057,-20.978197196498513
2,-48.214236136,9,-20.962685167999997,7,-9799712.820314808,-19.003233946859837
3,-48.214734032,6,-21.275091896,8,-9799710.149917865,-16.332837004214525
10,-48.215901368000004,3,-22.007450888,9,-9799710.138619693,-16.32153883203864
9,-48.217834376,1,-23.218714704,10,-9799709.527048633,-15.709967771545053
1,-48.20528656,14,-15.346840872,11,-9799705.705548834,-11.888467973098159
7,-48.214273792,8,-20.985613488,12,-9799704.280040758,-10.4629598967731
11,-48.21378008,10,-20.674579112,13,-9799702.751132574,-8.934051712974906
4,-48.214851184,5,-21.3481278,14,-9799700.987398898,-7.1703180372715
