,parameter,Delta E,Delta E per at,lgDeltaE_per_at
0,1,-1.0,-9.25925925925926,0.9665762445130504
1,2,-0.006085009663365781,-0.05634268206820168,-1.2491624832342425
2,3,-1.4422032108996063e-05,-0.00013353733434255614,-3.874397297354245
