,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
11,12.0,-11.523566,-5.064429,-14.625947268679738,7,1
12,13.0,-11.522679,-4.507951,-11.236370402853936,12,2
13,14.0,-11.522552,-4.428462,-6.015100068412721,13,3
7,8.0,-11.523298,-4.896561,-5.949875027872622,11,4
5,6.0,-11.524236,-5.485056,-5.140789416618645,2,5
4,5.0,-11.523831,-5.230679,-5.013909463770688,4,6
1,2.0,-11.523479,-5.010202,-4.541881918441504,9,7
2,3.0,-11.523598,-5.084869,-3.903641731478274,6,8
9,10.0,-11.523877,-5.259907,-3.900941403117031,3,9
8,9.0,-11.524339,-5.549406,-3.75477241165936,1,10
0,1.0,-11.52134,-3.667983,-2.8414120390079916,14,11
6,7.0,-11.523488,-5.015682,-2.5007074321620166,8,12
10,11.0,-11.52337,-4.941343,-2.1352896061725914,10,13
3,4.0,-11.523626,-5.102325,-1.7137471404857934,5,14
