,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
2,3.0,-11.417851,-6.717994,-9.98671029927209,2,1
9,10.0,-11.417436,-6.457231,-6.813138770870864,4,2
1,2.0,-11.41497,-4.909904,-4.803393629845232,9,3
4,5.0,-11.41498,-4.916324,-4.776022799313068,8,4
0,1.0,-11.417661,-6.598455,-3.724977571517229,3,5
8,9.0,-11.416907,-6.125167,-2.7835701038129628,6,6
7,8.0,-11.414113,-4.372316,-2.183292618021369,10,7
5,6.0,-11.417382,-6.423247,-1.7382480576634407,5,8
3,4.0,-11.414987,-4.9207,-1.4681937834247947,7,9
6,7.0,-11.418045,-6.83922,-1.3566046012565494,1,10
