,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
14,15.0,-11.238054,-3.906927,-26.930491710081697,9,1
5,6.0,-11.23661,-3.000787,-26.37130502681248,12,2
6,7.0,-11.236583,-2.983645,-26.191753291292116,13,3
7,8.0,-11.239344,-4.716601,-25.759821347892284,3,4
4,5.0,-11.239387,-4.743498,-22.214837305480614,2,5
8,9.0,-11.235579,-2.35359,-22.040546933189034,15,6
13,14.0,-11.238072,-3.91822,-21.843685802537948,6,7
9,10.0,-11.238093,-3.931235,-14.519247523974627,5,8
1,2.0,-11.236667,-3.036502,-5.424843486631289,11,9
10,11.0,-11.238067,-3.915043,-4.474251309409738,8,10
12,13.0,-11.238071,-3.917745,-3.399040670366958,7,11
0,1.0,-11.2391,-4.563244,-2.462781773880124,4,12
3,4.0,-11.239535,-4.83643,-2.3220690365415066,1,13
2,3.0,-11.237028,-3.263065,-1.7731845176313072,10,14
11,12.0,-11.235848,-2.522552,-1.074106021784246,14,15
