,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
5,6.0,-12.147229,-9.19626,-23.99645994277671,12,1
10,11.0,-12.147327,-9.257582,-23.90055249631405,9,2
4,5.0,-12.147069,-9.09565,-22.948892613407224,13,3
15,16.0,-12.148208,-9.810823,-22.431741855107248,1,4
2,3.0,-12.145007,-7.801706,-20.789098233915865,16,5
7,8.0,-12.14784,-9.580004,-20.458299492951483,2,6
1,2.0,-12.147784,-9.544818,-13.869849103037268,4,7
11,12.0,-12.14523,-7.942071,-13.138566059526056,15,8
9,10.0,-12.147249,-9.209076,-11.367828885093331,11,9
6,7.0,-12.147394,-9.299671,-10.759177436120808,8,10
3,4.0,-12.147834,-9.576203,-10.429886337835342,3,11
14,15.0,-12.147698,-9.490562,-9.852890372276306,6,12
0,1.0,-12.147396,-9.3011,-6.64214758714661,7,13
13,14.0,-12.147701,-9.492727,-6.290985984262079,5,14
8,9.0,-12.146833,-8.947614,-6.142999533098191,14,15
12,13.0,-12.147254,-9.212179,-5.859769768547267,10,16
