,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
5,6.0,-12.777008,-10.875284,-18.622260462958366,15,1
10,11.0,-12.780886,-13.308425,-17.505945823155344,1,2
14,15.0,-12.777882,-11.423581,-16.46218311553821,13,3
6,7.0,-12.779153,-12.221175,-16.206300894729793,10,4
1,2.0,-12.776991,-10.864516,-13.975907011888921,16,5
8,9.0,-12.780451,-13.035307,-13.649680293165147,3,6
7,8.0,-12.780421,-13.016797,-13.560939646791667,4,7
15,16.0,-12.779853,-12.660076,-13.14388783229515,7,8
9,10.0,-12.779715,-12.573803,-11.36249870993197,8,9
2,3.0,-12.780412,-13.010882,-8.553078241180629,5,10
0,1.0,-12.780559,-13.103028,-8.187156142201275,2,11
12,13.0,-12.77899,-12.118639,-6.814489355310798,11,12
4,5.0,-12.777402,-11.122234,-6.758700678125024,14,13
13,14.0,-12.780236,-12.900769,-6.312220625579357,6,14
3,4.0,-12.777952,-11.467229,-5.596479887608439,12,15
11,12.0,-12.779572,-12.483816,-4.9423082447610795,9,16
