,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
10,11.0,-11.955554,-10.198401,-6.985489612445235,1,1
11,12.0,-11.953531,-8.929436,-6.8317290912382305,16,2
9,10.0,-11.955053,-9.884012,-6.82097724545747,9,3
13,14.0,-11.954305,-9.414712,-6.745838551782072,10,4
14,15.0,-11.954289,-9.404726,-6.3526688679121435,13,5
4,5.0,-11.955079,-9.900818,-6.220444918144494,6,6
8,9.0,-11.955351,-10.071469,-6.166552800219506,3,7
3,4.0,-11.955071,-9.895556,-6.115948560182005,7,8
5,6.0,-11.955549,-10.195509,-5.932901448104531,2,9
0,1.0,-11.955136,-9.936396,-5.851671676617116,5,10
6,7.0,-11.954304,-9.414102,-5.81760236248374,11,11
7,8.0,-11.954137,-9.309336,-5.780145741999149,14,12
1,2.0,-11.955136,-9.936496,-5.696930455043912,4,13
2,3.0,-11.955067,-9.892808,-5.603417192120105,8,14
12,13.0,-11.953834,-9.119494,-5.00465814769268,15,15
15,16.0,-11.954303,-9.413484,-4.7548753246665,12,16
