,ind,E(FF),E_ia(FF),E_ia(PBE),Sort(FF),Sort(PBE)
10,11.0,-12.436059,-11.422379,-24.522008014377207,15,1
8,9.0,-12.437605,-12.392789,-23.69522230606526,11,2
9,10.0,-12.437997,-12.638595,-22.400053962133825,10,3
13,14.0,-12.439078,-13.316882,-20.688279394991696,6,4
15,16.0,-12.439083,-13.319965,-17.422509282361716,5,5
5,6.0,-12.437572,-12.371764,-16.365673219785094,12,6
6,7.0,-12.437443,-12.290917,-15.864186871796846,13,7
7,8.0,-12.439542,-13.608008,-15.431365048512816,1,8
3,4.0,-12.439073,-13.313649,-15.424881638493389,7,9
4,5.0,-12.438509,-12.95971,-15.07207704661414,9,10
0,1.0,-12.439089,-13.323786,-13.521196379326284,3,11
2,3.0,-12.439264,-13.433481,-12.115359285380691,2,12
1,2.0,-12.439088,-13.323278,-9.501762725412846,4,13
12,13.0,-12.439067,-13.309905,-8.500622425228357,8,14
11,12.0,-12.435014,-10.766515,-7.947922308463603,16,15
14,15.0,-12.437092,-12.0706,379.9895679615438,14,16
