,Unnamed: 0,basis set,total energy,$\Delta E_\text{el}$
0,0,SV(P),-640575.0189108134,297.7405927901855
1,1,SVP,-640592.8048518087,279.954651794862
2,2,TZVP(-f),-640838.3061017042,34.453401899314485
3,3,TZVP,-640840.0917754177,32.66772818588652
4,4,TZVPP,-640841.6502990363,31.109204567270353
5,5,QZVP,-640872.7595036036,0.0
6,6,QZVPP,-640872.7595036036,0.0
