,n,g,solv,SBU,SBU+solv
0,1,-244.051746193649,-244.054709565951,-3248.2425730691484,-3248.28128877166
1,2,-488.167046546594,-488.16947447076,-3492.339612178958,-3492.357839330733
2,3,-732.259481419401,-732.263250874713,-3736.430507865346,-3736.449850817499
3,4,-976.348135585152,-976.352985564494,-3980.517315389111,-3980.536847356057
4,5,-1220.442279799312,-1220.447495285694,-4224.624781297923,-4224.661726902527
5,6,-1464.53610575611,-1464.542871159588,-4468.715151872434,-4468.750976441331
6,7,-1708.641861998643,-1708.648494001513,-4712.820767352397,-4712.843094438829
7,8,-1952.744888902862,-1952.751964436207,-4956.969168482921,-4956.956602835295
