,n,g,solv,SBU,SBU+solv
0,1,0.0,-7.780332908375427,-140.37547817031088,-196.80698637966307
1,2,-83.43071113654442,-86.61796814692308,-129.64600659351592,-130.96541941961434
2,3,-91.2298449013274,-94.5287460878904,-120.6929974105907,-122.5491171241349
3,4,-92.64785053122436,-95.83125528382078,-113.53312544620223,-115.04927979920969
4,5,-96.38147793212362,-99.12012945444582,-120.08491876308267,-130.44174212213707
5,6,-98.73129876782917,-101.69172616573677,-116.9721486361883,-125.11228829437503
6,7,-104.88445092015651,-107.37192536861915,-120.46666908199607,-122.38141231243699
7,8,-108.60358043970315,-110.9256817198522,-137.1292731781927,-127.3533159213728
