n,solv,int,imp,"solv,int"
1,-7.780332908375427,-140.37547817031088,-196.80698637966307,-48.651175300976774
2,-3.1872570103786586,-46.2152954569715,-47.53470828306992,1.8678441842802442
3,-3.2989011865630005,-29.46315250926331,-31.3192722228075,1.4427814730188118
4,-3.1834047525964166,-20.88527491497787,-22.40142926798532,1.6672503995889656
5,-2.7386515223222005,-23.703440830959067,-34.060264190013456,-7.618171836732188
6,-2.960427397907594,-18.240849868359135,-26.380989526545875,-5.179712260279146
7,-2.4874744484626348,-15.582218161839549,-17.496961392280483,0.5727312180217012
8,-2.3221012801490275,-28.52569273848954,-18.74973548166963,12.098058536968935
