n,solv,int,imp,"solv,int"
1,3.9532808522184673,71.32647105296893,100.0,24.72024809481261
2,6.705115326254858,97.22431698067591,100.0,-3.9294323069307664
3,10.533134879681706,94.07355413516757,100.0,-4.60668901484927
4,14.210721621883,93.2318856316269,100.0,-7.442607253509902
5,8.040605636656158,69.59265112778829,100.0,22.36674323555556
6,11.22182090603032,69.14391838867256,100.0,19.63426070529712
7,14.216608202382433,89.05670997659226,100.0,-3.273318178974697
8,12.384714879946927,152.13917426396338,100.0,-64.52388914391032
