n,"corr(PBE,GFN-FF)"
1,-0.03622415267250511
2,0.25889011500954984
3,-0.05717750541389701
4,0.18363324967176034
5,0.3355913758380393
6,-0.08906119995125653
7,0.21368695375877897
8,-0.11191218137958338
