conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
11,-52.032470855999996,15,-47.791233735999995,1,-12362161.057952525,-102.60008153133094
9,-52.038939320000004,11,-51.851429176,2,-12362157.598681122,-99.14081012830138
10,-52.040579447999995,10,-52.87988148,3,-12362152.17969677,-93.7218257766217
14,-52.04510235200001,6,-55.717834288,4,-12362145.017631982,-86.55976098775864
16,-52.045123272000005,5,-55.730733560000004,5,-12362131.353649832,-72.89577883854508
6,-52.038801248,12,-51.763460576,6,-12362126.931847746,-68.47397675178945
7,-52.038261512,13,-51.425196728,7,-12362124.833628863,-66.37575786933303
8,-52.04704372799999,1,-56.935905472,8,-12362123.022702357,-64.56483136303723
4,-52.045081432,7,-55.704307416,9,-12362122.995575769,-64.53770477510989
5,-52.042721656,9,-54.22342664,10,-12362121.519441355,-63.0615703612566
1,-52.04514837599999,3,-55.746720624000005,11,-12362115.030556643,-56.572685649618506
3,-52.045880576,2,-56.205684504000004,12,-12362109.148534244,-50.6906632501632
2,-52.045144191999995,4,-55.744595152,13,-12362098.213246236,-39.75537524186075
13,-52.045056327999994,8,-55.688642519999995,14,-12362094.02447522,-35.56660422682762
12,-52.028098576000005,16,-45.04709876,15,-12362091.711977933,-33.25410693883896
