conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
13,-50.14308105599999,6,-36.747369088,1,-11080950.19529687,-91.27559117786586
14,-50.15372515200001,1,-43.426434728000004,2,-11080949.775028724,-90.85532303154469
6,-50.137127224,16,-33.009630343999994,3,-11080937.866867855,-78.94716216251254
16,-50.145432464,4,-38.22081908,4,-11080906.308702314,-47.38899662159383
2,-50.144202368,5,-37.450101176000004,5,-11080898.796394655,-39.87668896280229
1,-50.138018416,11,-33.569282183999995,6,-11080897.217388548,-38.297682855278254
8,-50.152867432,3,-42.88779912,7,-11080896.26456816,-37.34486246667802
3,-50.142399063999996,8,-36.317400328,8,-11080894.802195514,-35.88248982094228
9,-50.15369168,2,-43.403761632000005,9,-11080894.035823807,-35.11611811444163
4,-50.14036564,9,-35.042456032000004,10,-11080893.587950753,-34.66824506036937
15,-50.137503783999996,13,-33.246348512,11,-11080893.17574338,-34.25603768788278
12,-50.143018296,7,-36.707951623999996,12,-11080890.009471882,-31.089766189455986
10,-50.138888688,10,-34.11562471999999,13,-11080887.627597606,-28.70789191313088
5,-50.13746612800001,14,-33.223934824000004,14,-11080885.739182945,-26.819477252662182
11,-50.137533072,12,-33.265649304,15,-11080882.125748895,-23.20604320243001
7,-50.137219272,15,-33.066959512,16,-11080870.442523539,-11.522817846387625
