conf. Nr,"$E_{el,GFN-FF}$",GFN-FF Nr,"\DE{int}{el,GFN_FF}",PBE Nr,"$E_	ext{el,PBE}$","\DE{int}{el,PBE}"
15,-47.020017935999995,9,-16.346582568000002,1,-8518574.842896232,-112.67717731557786
6,-47.013976240000005,12,-12.555292808,2,-8518572.50325915,-110.33754023350775
7,-47.013863271999995,13,-12.48357068,3,-8518571.752014687,-109.58629577048123
8,-47.025415296,3,-19.734258584,4,-8518569.944811437,-107.77909252047539
5,-47.025595208,2,-19.846795632,5,-8518555.112598205,-92.94687928818166
9,-47.009662536,15,-9.84742056,6,-8518554.383367285,-92.21764836832881
14,-47.020093248,6,-16.393832479999997,7,-8518553.559700316,-91.39398139901459
10,-47.020181111999996,5,-16.44828724,8,-8518522.914250558,-60.7485316414386
2,-47.014214728000006,11,-12.704724368,9,-8518484.863264065,-22.697545148432255
11,-47.020072328,8,-16.380539912,10,-8518480.885986397,-18.720267480239272
13,-47.020089064,7,-16.39184508,11,-8518476.387305083,-14.221586165949702
1,-47.0243944,4,-19.092612896000002,12,-8518472.469997859,-10.304278941825032
4,-47.02621444,1,-20.23562312,13,-8518471.881255766,-9.715536849573255
3,-47.015725152,10,-13.652663960000002,14,-8518469.58472294,-7.419004023075104
12,-47.010788032,14,-10.554357568,15,-8518466.659778513,-4.494059596210718
