,parameter,Delta E,Delta E per at,lgDeltaE_per_at
0,4,-1.0,-9.25925925925926,0.9665762445130504
1,5,0.0005375608889153227,0.00497741563810484,
2,6,-1.0204268619418144e-05,-9.448396869831615e-05,-4.024641872934975
3,7,-0.00039837466465542093,-0.0036886543023650084,-2.4331320445862374
4,8,0.0003322510019643232,0.003076398166336326,
5,9,-0.00020680651505244896,-0.0019148751393745275,-2.7178595392141784
6,10,0.00016231590416282415,0.0015029250385446681,
7,11,-4.857232124777511e-05,-0.0004497437152571769,-3.347034896794415
